id,user_id,location_id,duration,start_day,end_day,start_min,end_min,weekday
0,0,0,64.0,0,0,183,248,3
1,0,1,309.0,0,0,272,582,3
2,0,2,899.0,0,1,670,130,3
3,0,2,752.0,4,5,725,38,0
4,0,3,33.0,5,5,38,72,1
5,0,1,127.0,5,5,176,303,1
6,0,4,786.0,11,11,615,1402,0
7,0,3,64.0,12,12,8,73,1
8,0,5,96.0,18,18,111,208,0
9,0,1,1231.0,18,19,226,17,0
10,0,3,36.0,19,19,17,53,1
11,0,2,1435.0,19,20,154,150,1
12,0,1,34.0,20,20,178,212,2
13,0,2,33.0,20,20,229,263,2
14,0,2,1542.0,20,21,307,410,2
15,0,2,44.0,21,21,412,456,3
16,0,1,167.0,21,21,666,833,3
17,0,2,703.0,21,22,851,114,3
18,0,1,114.0,22,22,119,233,4
19,0,2,186.0,22,22,237,423,4
20,0,1,186.0,22,22,427,614,4
21,0,2,45.0,22,22,631,677,4
22,0,2,297.0,22,22,678,976,4
23,0,2,514.0,22,23,989,63,4
24,0,1,142.0,23,23,68,210,5
25,0,1,1216.0,24,25,535,311,6
26,0,1,636.0,25,25,317,954,0
27,0,2,1056.0,25,26,975,592,0
28,0,2,60.0,26,26,594,654,1
29,0,4,271.0,26,26,708,980,1
30,0,1,547.0,26,27,980,88,1
31,0,1,588.0,27,27,93,682,2
32,0,2,109.0,27,27,693,803,2
33,0,6,855.0,27,28,822,237,2
34,0,2,1294.0,29,30,249,104,4
35,0,1,177.0,30,30,114,292,5
36,0,2,46.0,30,30,292,338,5
37,0,2,1179.0,39,40,691,431,0
38,0,1,211.0,40,40,440,651,1
39,0,2,991.0,40,41,651,203,1
40,0,2,702.0,41,41,209,912,2
41,0,2,479.0,41,41,953,1432,2
42,0,1,315.0,48,48,159,475,2
43,0,1,1244.0,48,49,482,286,2
44,0,2,448.0,49,49,286,734,3
45,0,1,961.0,49,50,743,265,3
46,0,7,94.0,50,50,284,378,4
47,0,2,212.0,50,50,400,612,4
48,0,2,162.0,158,158,64,227,0
49,0,8,74.0,158,158,243,318,0
50,0,1,199.0,158,158,380,580,0
51,0,1,337.0,158,158,618,956,0
52,0,2,512.0,158,159,966,39,0
53,0,9,32.0,159,159,73,105,1
54,0,1,124.0,159,159,107,231,1
55,0,1,267.0,159,159,269,537,1
56,0,10,1156.0,159,160,589,306,1
57,0,1,216.0,160,160,323,539,2
58,0,2,41.0,160,160,582,624,2
59,0,1,593.0,160,160,630,1223,2
60,0,2,584.0,160,161,1223,367,2
61,0,1,216.0,161,161,367,584,3
62,0,1,68.0,161,161,624,692,3
63,0,2,204.0,161,161,712,917,3
64,0,1,579.0,161,162,937,76,3
65,0,2,160.0,162,162,88,249,4
66,0,11,66.0,162,162,249,316,4
67,0,1,106.0,162,162,360,466,4
68,0,2,40.0,162,162,627,668,4
69,0,2,1077.0,162,163,770,407,4
70,0,12,33.0,163,163,467,501,5
71,0,13,52.0,163,163,629,682,5
72,0,14,40.0,163,163,682,723,5
73,0,2,918.0,163,164,843,322,5
74,0,15,59.0,164,164,504,564,6
75,0,16,80.0,164,164,605,686,6
76,0,2,764.0,164,165,832,157,6
77,0,17,44.0,165,165,228,273,0
78,0,2,60.0,165,165,357,418,0
79,0,1,59.0,165,165,424,483,0
80,0,4,98.0,165,165,489,588,0
81,0,4,45.0,165,165,594,639,0
82,0,2,463.0,168,169,1117,141,3
83,0,1,309.0,169,169,146,455,4
84,0,18,250.0,169,169,535,786,4
85,0,1,182.0,169,169,843,1025,4
86,0,2,735.0,169,170,1031,327,4
87,0,1,56.0,170,170,384,441,5
88,0,18,264.0,170,170,522,786,5
89,0,1,184.0,170,170,852,1036,5
90,0,2,447.0,170,171,1043,51,5
91,0,1,396.0,171,171,57,454,6
92,0,18,259.0,171,171,526,786,6
93,0,1,186.0,171,171,850,1036,6
94,0,2,706.0,171,172,1043,310,6
95,0,1,99.0,172,172,355,454,0
96,0,18,263.0,172,172,522,786,0
97,0,1,39.0,172,172,848,888,0
98,0,2,408.0,172,172,893,1302,0
99,0,18,351.0,172,173,1371,283,0
100,0,1,229.0,173,173,365,595,1
101,0,5,50.0,173,173,691,741,1
102,0,19,640.0,173,174,814,15,1
103,0,20,436.0,174,174,24,460,2
104,0,21,51.0,174,174,502,553,2
105,0,1,31.0,174,174,568,600,2
106,0,1,827.0,174,175,639,27,2
107,0,4,226.0,175,175,29,255,3
108,0,4,132.0,175,175,320,453,3
109,0,1,50.0,175,175,469,520,3
110,0,11,80.0,175,175,530,611,3
111,0,2,84.0,175,175,612,697,3
112,0,1,229.0,175,175,702,931,3
113,0,2,529.0,175,176,942,31,3
114,0,4,226.0,176,176,37,264,4
115,0,1,253.0,176,176,313,566,4
116,0,2,441.0,177,178,1053,54,5
117,0,5,47.0,178,178,74,122,6
118,0,22,39.0,178,178,246,285,6
119,0,20,319.0,178,178,294,613,6
120,0,21,50.0,178,178,659,710,6
121,0,1,347.0,178,178,730,1077,6
122,0,2,453.0,178,179,1088,102,6
123,0,1,134.0,179,179,109,243,0
124,0,1,304.0,179,179,276,581,0
125,0,1,306.0,179,179,625,931,0
126,0,2,495.0,179,179,938,1434,0
127,0,1,238.0,180,180,7,246,1
128,0,1,346.0,180,180,264,611,1
129,0,2,34.0,180,180,617,652,1
130,0,1,945.0,180,181,653,158,1
131,0,5,33.0,181,181,202,235,2
132,0,1,292.0,181,181,299,591,2
133,0,1,615.0,181,181,623,1238,2
134,0,2,765.0,181,182,1243,568,2
135,0,1,488.0,182,182,602,1091,3
136,0,2,385.0,182,183,1105,50,3
137,0,1,170.0,183,183,64,234,4
138,0,11,71.0,183,183,244,315,4
139,0,2,60.0,183,183,322,383,4
140,0,10,40.0,183,183,411,452,4
141,0,1,92.0,183,183,477,569,4
142,0,2,32.0,183,183,575,607,4
143,0,1,419.0,183,183,612,1031,4
144,0,2,459.0,183,184,1037,57,4
145,0,23,34.0,184,184,88,122,5
146,0,24,52.0,184,184,124,177,5
147,0,25,35.0,184,184,231,267,5
148,0,26,355.0,184,184,311,667,5
149,0,5,47.0,184,184,683,731,5
150,0,19,216.0,184,184,804,1021,5
151,0,27,36.0,184,184,1039,1075,5
152,0,19,530.0,184,185,1086,177,5
153,0,20,41.0,185,185,196,237,6
154,0,22,45.0,185,185,241,286,6
155,0,28,127.0,185,185,291,418,6
156,0,21,54.0,185,185,466,520,6
